"","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid_c1","distfrommid_c2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","distfrommid","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"14","01LS","3",3.11,"3","german","1",0,"timeline","4","deictic","2","tomorrow",14.6,6.8,NA,NA,NA,NA,3,NA,0,NA,NA,6.8,3,NA,NA,NA,1,1,1,1,1,NA,NA
"15","01LS","3",3.11,"3","german","1",0,"timeline","4","deictic","3","aftertomorrow",14.6,7,NA,NA,NA,NA,4,NA,0,NA,NA,7,4,NA,NA,NA,1,1,1,1,1,NA,NA
"16","01LS","3",3.11,"3","german","1",0,"timeline","4","deictic","4","beforeyesterday",14.6,6.9,NA,NA,NA,NA,1,NA,0,NA,NA,6.9,1,NA,NA,NA,1,1,0,0,0,NA,NA
"17","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"18","01LS","3",3.11,"3","german","1",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,NA,3,3,3,NA,0,NA,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"19","01LS","3",3.11,"3","german","1",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,NA,6,0,4,4,0,0,1,0,0,2,"1"
"20","01LS","3",3.11,"3","german","1",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,NA,3,0,-2,2,1,1,0,0,0,1,"1"
"21","01LS","3",3.11,"3","german","1",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,5,6,6,6,NA,0,NA,NA,NA,5,0,-1,1,1,1,1,1,1,2,"0"
"22","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"23","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"24","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"25","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"26","01LS","3",3.11,"3","german","1",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"27","03LS","5",3.1,"3","german","1",0,"timeline","1","event","1","breakfast",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,-7.3,2,NA,NA,NA,0,0,0,1,1,NA,NA
"28","03LS","5",3.1,"3","german","1",0,"timeline","1","event","2","nextbday",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,7.3,4,NA,NA,NA,1,1,1,1,1,NA,NA
"29","03LS","5",3.1,"3","german","1",0,"timeline","1","event","3","dinner",14.6,0,NA,NA,NA,NA,3,NA,0,NA,NA,0,3,NA,NA,NA,0,0,1,0,0,NA,NA
"30","03LS","5",3.1,"3","german","1",0,"timeline","1","event","4","lastbday",14.6,2.9,NA,NA,NA,NA,1,NA,0,NA,NA,2.9,1,NA,NA,NA,1,1,0,0,0,NA,NA
"31","03LS","5",3.1,"3","german","1",0,"timeline","2","deictic","1","lastweek",14.6,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,1,NA,NA,NA,0,0,0,1,1,NA,NA
"32","03LS","5",3.1,"3","german","1",0,"timeline","2","deictic","2","tomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,7.3,4,NA,NA,NA,1,1,1,1,1,NA,NA
"33","03LS","5",3.1,"3","german","1",0,"timeline","2","deictic","3","tonight",14.6,-7.3,NA,NA,NA,NA,3,NA,0,NA,NA,-7.3,3,NA,NA,NA,0,0,1,0,0,NA,NA
"34","03LS","5",3.1,"3","german","1",0,"timeline","2","deictic","4","thismorning",14.6,4.2,NA,NA,NA,NA,2,NA,0,NA,NA,4.2,2,NA,NA,NA,1,1,0,0,0,NA,NA
"35","03LS","5",3.1,"3","german","1",0,"timeline","3","deictic","1","nextweek",14.6,7.3,NA,NA,NA,NA,3,NA,0,NA,NA,7.3,3,NA,NA,NA,1,1,1,1,1,NA,NA
"36","03LS","5",3.1,"3","german","1",0,"timeline","3","deictic","2","nextyear",14.6,0,NA,NA,NA,NA,4,NA,0,NA,NA,0,4,NA,NA,NA,0,0,1,0,0,NA,NA
"37","03LS","5",3.1,"3","german","1",0,"timeline","3","deictic","3","yesterday",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,-7.3,2,NA,NA,NA,0,0,0,1,1,NA,NA
"38","03LS","5",3.1,"3","german","1",0,"timeline","3","deictic","4","lastyear",14.6,-3.1,NA,NA,NA,NA,1,NA,0,NA,NA,-3.1,1,NA,NA,NA,0,0,0,1,1,NA,NA
"39","03LS","5",3.1,"3","german","1",0,"timeline","4","deictic","1","yesterday",14.6,-0.1,NA,NA,NA,NA,2,NA,0,NA,NA,-0.1,2,NA,NA,NA,0,0,0,1,1,NA,NA
"40","03LS","5",3.1,"3","german","1",0,"timeline","4","deictic","2","tomorrow",14.6,3.6,NA,NA,NA,NA,3,NA,0,NA,NA,3.6,3,NA,NA,NA,1,1,1,1,1,NA,NA
"41","03LS","5",3.1,"3","german","1",0,"timeline","4","deictic","3","aftertomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,7.3,4,NA,NA,NA,1,1,1,1,1,NA,NA
"42","03LS","5",3.1,"3","german","1",0,"timeline","4","deictic","4","beforeyesterday",14.6,-4.7,NA,NA,NA,NA,1,NA,0,NA,NA,-4.7,1,NA,NA,NA,0,0,0,1,1,NA,NA
"43","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"44","03LS","5",3.1,"3","german","3",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,NA,2,0,-3,3,1,1,0,0,0,1,"0"
"45","03LS","5",3.1,"3","german","3",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,NA,6,0,4,4,0,0,1,0,0,2,"1"
"46","03LS","5",3.1,"3","german","3",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,NA,3,0,-3,3,1,1,0,0,0,2,"0"
"47","03LS","5",3.1,"3","german","3",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,2,2,2,3,NA,0,NA,NA,NA,5,0,3,3,0,0,1,0,0,2,"0"
"48","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"49","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"50","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,NA,5,NA,NA,NA,0,0,0,1,1,NA,NA
"51","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"52","03LS","5",3.1,"3","german","3",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,NA,6,NA,NA,NA,0,0,1,0,0,NA,NA
"53","05LS","4",3.1,"3","german","2",0,"timeline","1","event","1","lastbday",14.6,-7.2,NA,NA,NA,NA,1,NA,0,NA,NA,-7.2,1,NA,NA,NA,0,0,0,1,1,NA,NA
"54","05LS","4",3.1,"3","german","2",0,"timeline","1","event","2","dinner",14.6,0.4,NA,NA,NA,NA,3,NA,0,NA,NA,0.4,3,NA,NA,NA,1,1,1,1,1,NA,NA
"55","05LS","4",3.1,"3","german","2",0,"timeline","1","event","3","nextbday",14.6,2.9,NA,NA,NA,NA,4,NA,0,NA,NA,2.9,4,NA,NA,NA,1,1,1,1,1,NA,NA
"56","05LS","4",3.1,"3","german","2",0,"timeline","1","event","4","breakfast",14.6,-2.7,NA,NA,NA,NA,2,NA,0,NA,NA,-2.7,2,NA,NA,NA,0,0,0,1,1,NA,NA
"57","05LS","4",3.1,"3","german","2",0,"timeline","2","deictic","1","thismorning",14.6,0.4,NA,NA,NA,NA,2,NA,0,NA,NA,0.4,2,NA,NA,NA,1,1,0,0,0,NA,NA
"58","05LS","4",3.1,"3","german","2",0,"timeline","2","deictic","2","tonight",14.6,0.4,NA,NA,NA,NA,3,NA,0,NA,NA,0.4,3,NA,NA,NA,1,1,1,1,1,NA,NA
"59","05LS","4",3.1,"3","german","2",0,"timeline","2","deictic","3","tomorrow",14.6,1.7,NA,NA,NA,NA,4,NA,0,NA,NA,1.7,4,NA,NA,NA,1,1,1,1,1,NA,NA
"60","05LS","4",3.1,"3","german","2",0,"timeline","2","deictic","4","lastweek",14.6,-3.2,NA,NA,NA,NA,1,NA,0,NA,NA,-3.2,1,NA,NA,NA,0,0,0,1,1,NA,NA
"61","05LS","4",3.1,"3","german","2",0,"timeline","3","deictic","1","lastyear",14.6,-1.6,NA,NA,NA,NA,1,NA,0,NA,NA,-1.6,1,NA,NA,NA,0,0,0,1,1,NA,NA
"62","05LS","4",3.1,"3","german","2",0,"timeline","3","deictic","2","yesterday",14.6,3.4,NA,NA,NA,NA,2,NA,0,NA,NA,3.4,2,NA,NA,NA,1,1,0,0,0,NA,NA
"63","05LS","4",3.1,"3","german","2",0,"timeline","3","deictic","3","nextyear",14.6,0.5,NA,NA,NA,NA,4,NA,0,NA,NA,0.5,4,NA,NA,NA,1,1,1,1,1,NA,NA
"64","05LS","4",3.1,"3","german","2",0,"timeline","3","deictic","4","nextweek",14.6,3.8,NA,NA,NA,NA,3,NA,0,NA,NA,3.8,3,NA,NA,NA,1,1,1,1,1,NA,NA
"65","05LS","4",3.1,"3","german","2",0,"timeline","4","deictic","1","tomorrow",14.6,3.1,NA,NA,NA,NA,3,NA,0,NA,NA,3.1,3,NA,NA,NA,1,1,1,1,1,NA,NA
"66","05LS","4",3.1,"3","german","2",0,"timeline","4","deictic","2","yesterday",14.6,-1.3,NA,NA,NA,NA,2,NA,0,NA,NA,-1.3,2,NA,NA,NA,0,0,0,1,1,NA,NA
"67","05LS","4",3.1,"3","german","2",0,"timeline","4","deictic","3","beforeyesterday",14.6,4.9,NA,NA,NA,NA,1,NA,0,NA,NA,4.9,1,NA,NA,NA,1,1,0,0,0,NA,NA
"68","05LS","4",3.1,"3","german","2",0,"timeline","4","deictic","4","aftertomorrow",14.6,-4.3,NA,NA,NA,NA,4,NA,0,NA,NA,-4.3,4,NA,NA,NA,0,0,1,0,0,NA,NA
"69","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,3,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"70","05LS","4",3.1,"3","german","1",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,NA,3,3,3,NA,0,NA,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"71","05LS","4",3.1,"3","german","1",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,NA,6,0,4,4,0,0,1,0,0,2,"1"
"72","05LS","4",3.1,"3","german","1",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,1,5,5,5,NA,0,NA,NA,NA,3,0,-2,2,1,0,0,0,1,1,"1"
"73","05LS","4",3.1,"3","german","1",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,NA,5,0,-1,1,1,1,1,1,1,2,"0"
"74","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"75","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"76","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"77","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"78","05LS","4",3.1,"3","german","1",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,NA,5,NA,NA,NA,0,0,1,0,0,NA,NA
"79","06LS","4",3.6,"3","german","1",1,"timeline","1","event","1","breakfast",14.6,0.2,NA,NA,NA,NA,2,NA,0,NA,NA,0.2,2,NA,NA,NA,1,1,0,0,0,NA,NA
"80","06LS","4",3.6,"3","german","1",1,"timeline","1","event","2","nextbday",14.6,-0.3,NA,NA,NA,NA,4,NA,0,NA,NA,-0.3,4,NA,NA,NA,0,0,1,0,0,NA,NA
"81","06LS","4",3.6,"3","german","1",1,"timeline","1","event","3","dinner",14.6,0.5,NA,NA,NA,NA,3,NA,0,NA,NA,0.5,3,NA,NA,NA,1,1,1,1,1,NA,NA
"82","06LS","4",3.6,"3","german","1",1,"timeline","1","event","4","lastbday",14.6,0.7,NA,NA,NA,NA,1,NA,0,NA,NA,0.7,1,NA,NA,NA,1,1,0,0,0,NA,NA
"83","06LS","4",3.6,"3","german","1",1,"timeline","2","deictic","1","lastweek",14.6,-3.3,NA,NA,NA,NA,1,NA,0,NA,NA,-3.3,1,NA,NA,NA,0,0,0,1,1,NA,NA
"84","06LS","4",3.6,"3","german","1",1,"timeline","2","deictic","2","tomorrow",14.6,1.2,NA,NA,NA,NA,4,NA,0,NA,NA,1.2,4,NA,NA,NA,1,1,1,1,1,NA,NA
"85","06LS","4",3.6,"3","german","1",1,"timeline","2","deictic","3","tonight",14.6,2.1,NA,NA,NA,NA,3,NA,0,NA,NA,2.1,3,NA,NA,NA,1,1,1,1,1,NA,NA
"86","06LS","4",3.6,"3","german","1",1,"timeline","2","deictic","4","thismorning",14.6,0.6,NA,NA,NA,NA,2,NA,0,NA,NA,0.6,2,NA,NA,NA,1,1,0,0,0,NA,NA
"87","06LS","4",3.6,"3","german","1",1,"timeline","3","deictic","1","nextweek",14.6,0.1,NA,NA,NA,NA,3,NA,0,NA,NA,0.1,3,NA,NA,NA,1,1,1,1,1,NA,NA
"88","06LS","4",3.6,"3","german","1",1,"timeline","3","deictic","2","nextyear",14.6,1.4,NA,NA,NA,NA,4,NA,0,NA,NA,1.4,4,NA,NA,NA,1,1,1,1,1,NA,NA
"89","06LS","4",3.6,"3","german","1",1,"timeline","3","deictic","3","yesterday",14.6,3.2,NA,NA,NA,NA,2,NA,0,NA,NA,3.2,2,NA,NA,NA,1,1,0,0,0,NA,NA
"90","06LS","4",3.6,"3","german","1",1,"timeline","3","deictic","4","lastyear",14.6,-0.9,NA,NA,NA,NA,1,NA,0,NA,NA,-0.9,1,NA,NA,NA,0,0,0,1,1,NA,NA
"91","06LS","4",3.6,"3","german","1",1,"timeline","4","deictic","1","yesterday",14.6,-0.6,NA,NA,NA,NA,2,NA,0,NA,NA,-0.6,2,NA,NA,NA,0,0,0,1,1,NA,NA
"92","06LS","4",3.6,"3","german","1",1,"timeline","4","deictic","2","tomorrow",14.6,4.5,NA,NA,NA,NA,3,NA,0,NA,NA,4.5,3,NA,NA,NA,1,1,1,1,1,NA,NA
"93","06LS","4",3.6,"3","german","1",1,"timeline","4","deictic","3","aftertomorrow",14.6,2.1,NA,NA,NA,NA,4,NA,0,NA,NA,2.1,4,NA,NA,NA,1,1,1,1,1,NA,NA
"94","06LS","4",3.6,"3","german","1",1,"timeline","4","deictic","4","beforeyesterday",14.6,-2.4,NA,NA,NA,NA,1,NA,0,NA,NA,-2.4,1,NA,NA,NA,0,0,0,1,1,NA,NA
"95","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"96","06LS","4",3.6,"3","german","2",1,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,3,NA,3,3,NA,0,NA,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"97","06LS","4",3.6,"3","german","2",1,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,NA,6,0,1,1,1,1,1,1,1,1,"0"
"98","06LS","4",3.6,"3","german","2",1,"calendar","3","deictic","3","yesterday",NA,NA,NA,3,3,3,2,NA,0,NA,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"99","06LS","4",3.6,"3","german","2",1,"calendar","4","deictic","4","tomorrow",NA,NA,NA,5,6,6,6,NA,0,NA,NA,NA,5,0,-1,1,1,1,1,1,1,2,"0"
"100","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"101","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"102","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,4,NA,NA,NA,0,0,0,1,1,NA,NA
"103","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,NA,3,NA,NA,NA,0,0,0,1,1,NA,NA
"104","06LS","4",3.6,"3","german","2",1,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,NA,5,NA,NA,NA,0,0,1,0,0,NA,NA
"105","07LS","1",3.6,"3","german","2",0,"timeline","1","event","1","lastbday",14.6,-7,NA,NA,NA,NA,1,NA,0,NA,NA,-7,1,NA,NA,NA,0,0,0,1,1,NA,NA
"106","07LS","1",3.6,"3","german","2",0,"timeline","1","event","2","dinner",14.6,5.1,NA,NA,NA,NA,3,NA,0,NA,NA,5.1,3,NA,NA,NA,1,1,1,1,1,NA,NA
"107","07LS","1",3.6,"3","german","2",0,"timeline","1","event","3","nextbday",14.6,1.5,NA,NA,NA,NA,4,NA,0,NA,NA,1.5,4,NA,NA,NA,1,1,1,1,1,NA,NA
"108","07LS","1",3.6,"3","german","2",0,"timeline","1","event","4","breakfast",14.6,-3.7,NA,NA,NA,NA,2,NA,0,NA,NA,-3.7,2,NA,NA,NA,0,0,0,1,1,NA,NA
"109","07LS","1",3.6,"3","german","2",0,"timeline","2","deictic","1","thismorning",14.6,3.3,NA,NA,NA,NA,2,NA,0,NA,NA,3.3,2,NA,NA,NA,1,1,0,0,0,NA,NA
"110","07LS","1",3.6,"3","german","2",0,"timeline","2","deictic","2","tonight",14.6,-4,NA,NA,NA,NA,3,NA,0,NA,NA,-4,3,NA,NA,NA,0,0,1,0,0,NA,NA
"111","07LS","1",3.6,"3","german","2",0,"timeline","2","deictic","3","tomorrow",14.6,2.1,NA,NA,NA,NA,4,NA,0,NA,NA,2.1,4,NA,NA,NA,1,1,1,1,1,NA,NA
"112","07LS","1",3.6,"3","german","2",0,"timeline","2","deictic","4","lastweek",14.6,-6.6,NA,NA,NA,NA,1,NA,0,NA,NA,-6.6,1,NA,NA,NA,0,0,0,1,1,NA,NA
"113","07LS","1",3.6,"3","german","2",0,"timeline","3","deictic","1","lastyear",14.6,6.5,NA,NA,NA,NA,1,NA,0,NA,NA,6.5,1,NA,NA,NA,1,1,0,0,0,NA,NA
"114","07LS","1",3.6,"3","german","2",0,"timeline","3","deictic","2","yesterday",14.6,-3.7,NA,NA,NA,NA,2,NA,0,NA,NA,-3.7,2,NA,NA,NA,0,0,0,1,1,NA,NA
"115","07LS","1",3.6,"3","german","2",0,"timeline","3","deictic","3","nextyear",14.6,4.3,NA,NA,NA,NA,4,NA,0,NA,NA,4.3,4,NA,NA,NA,1,1,1,1,1,NA,NA
"116","07LS","1",3.6,"3","german","2",0,"timeline","3","deictic","4","nextweek",14.6,2.4,NA,NA,NA,NA,3,NA,0,NA,NA,2.4,3,NA,NA,NA,1,1,1,1,1,NA,NA
"117","07LS","1",3.6,"3","german","2",0,"timeline","4","deictic","1","tomorrow",14.6,6.5,NA,NA,NA,NA,3,NA,0,NA,NA,6.5,3,NA,NA,NA,1,1,1,1,1,NA,NA
"118","07LS","1",3.6,"3","german","2",0,"timeline","4","deictic","2","yesterday",14.6,3.7,NA,NA,NA,NA,2,NA,0,NA,NA,3.7,2,NA,NA,NA,1,1,0,0,0,NA,NA
"119","07LS","1",3.6,"3","german","2",0,"timeline","4","deictic","3","beforeyesterday",14.6,-3.7,NA,NA,NA,NA,1,NA,0,NA,NA,-3.7,1,NA,NA,NA,0,0,0,1,1,NA,NA
"120","07LS","1",3.6,"3","german","2",0,"timeline","4","deictic","4","aftertomorrow",14.6,-5.5,NA,NA,NA,NA,4,NA,0,NA,NA,-5.5,4,NA,NA,NA,0,0,1,0,0,NA,NA
"121","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"122","07LS","1",3.6,"3","german","3",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,NA,2,0,-3,3,1,1,0,0,0,1,"0"
"123","07LS","1",3.6,"3","german","3",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,3,3,3,2,NA,0,NA,NA,NA,6,0,3,3,0,0,1,0,0,1,"0"
"124","07LS","1",3.6,"3","german","3",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,3,5,5,6,NA,0,NA,NA,NA,3,0,-2,2,1,0,0,0,1,1,"1"
"125","07LS","1",3.6,"3","german","3",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,5,3,3,3,NA,0,NA,NA,NA,5,0,2,2,0,1,1,0,1,1,"1"
"126","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"127","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"128","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"129","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"130","07LS","1",3.6,"3","german","3",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,2,NA,NA,NA,0,0,1,0,0,NA,NA
"131","08LS","2",3.9,"3","german","1",1,"timeline","1","event","1","breakfast",14.6,3.3,NA,NA,NA,NA,2,NA,0,NA,NA,3.3,2,NA,NA,NA,1,1,0,0,0,NA,NA
"132","08LS","2",3.9,"3","german","1",1,"timeline","1","event","2","nextbday",14.6,6.7,NA,NA,NA,NA,4,NA,0,NA,NA,6.7,4,NA,NA,NA,1,1,1,1,1,NA,NA
